"Module","Module.Number","Relationship","First.Object.Name","First.Image.Number","First.Object.Number","Second.Object.Name","Second.Image.Number","Second.Object.Number"
"MeasureObjectNeighbors",9,"Neighbors","cell",4,1,"cell",4,4
"MeasureObjectNeighbors",9,"Neighbors","cell",4,1,"cell",4,6
"MeasureObjectNeighbors",9,"Neighbors","cell",4,1,"cell",4,9
"MeasureObjectNeighbors",9,"Neighbors","cell",4,2,"cell",4,4
"MeasureObjectNeighbors",9,"Neighbors","cell",4,2,"cell",4,5
"MeasureObjectNeighbors",9,"Neighbors","cell",4,2,"cell",4,9
"MeasureObjectNeighbors",9,"Neighbors","cell",4,2,"cell",4,12
"MeasureObjectNeighbors",9,"Neighbors","cell",4,3,"cell",4,10
"MeasureObjectNeighbors",9,"Neighbors","cell",4,3,"cell",4,11
"MeasureObjectNeighbors",9,"Neighbors","cell",4,4,"cell",4,1
"MeasureObjectNeighbors",9,"Neighbors","cell",4,4,"cell",4,2
"MeasureObjectNeighbors",9,"Neighbors","cell",4,4,"cell",4,6
"MeasureObjectNeighbors",9,"Neighbors","cell",4,4,"cell",4,9
"MeasureObjectNeighbors",9,"Neighbors","cell",4,4,"cell",4,12
"MeasureObjectNeighbors",9,"Neighbors","cell",4,5,"cell",4,2
"MeasureObjectNeighbors",9,"Neighbors","cell",4,5,"cell",4,8
"MeasureObjectNeighbors",9,"Neighbors","cell",4,5,"cell",4,12
"MeasureObjectNeighbors",9,"Neighbors","cell",4,5,"cell",4,14
"MeasureObjectNeighbors",9,"Neighbors","cell",4,6,"cell",4,1
"MeasureObjectNeighbors",9,"Neighbors","cell",4,6,"cell",4,4
"MeasureObjectNeighbors",9,"Neighbors","cell",4,6,"cell",4,9
"MeasureObjectNeighbors",9,"Neighbors","cell",4,8,"cell",4,5
"MeasureObjectNeighbors",9,"Neighbors","cell",4,8,"cell",4,13
"MeasureObjectNeighbors",9,"Neighbors","cell",4,8,"cell",4,14
"MeasureObjectNeighbors",9,"Neighbors","cell",4,9,"cell",4,1
"MeasureObjectNeighbors",9,"Neighbors","cell",4,9,"cell",4,2
"MeasureObjectNeighbors",9,"Neighbors","cell",4,9,"cell",4,4
"MeasureObjectNeighbors",9,"Neighbors","cell",4,9,"cell",4,6
"MeasureObjectNeighbors",9,"Neighbors","cell",4,9,"cell",4,12
"MeasureObjectNeighbors",9,"Neighbors","cell",4,9,"cell",4,16
"MeasureObjectNeighbors",9,"Neighbors","cell",4,9,"cell",4,21
"MeasureObjectNeighbors",9,"Neighbors","cell",4,10,"cell",4,3
"MeasureObjectNeighbors",9,"Neighbors","cell",4,10,"cell",4,11
"MeasureObjectNeighbors",9,"Neighbors","cell",4,10,"cell",4,13
"MeasureObjectNeighbors",9,"Neighbors","cell",4,10,"cell",4,15
"MeasureObjectNeighbors",9,"Neighbors","cell",4,11,"cell",4,3
"MeasureObjectNeighbors",9,"Neighbors","cell",4,11,"cell",4,10
"MeasureObjectNeighbors",9,"Neighbors","cell",4,11,"cell",4,15
"MeasureObjectNeighbors",9,"Neighbors","cell",4,11,"cell",4,18
"MeasureObjectNeighbors",9,"Neighbors","cell",4,11,"cell",4,27
"MeasureObjectNeighbors",9,"Neighbors","cell",4,12,"cell",4,2
"MeasureObjectNeighbors",9,"Neighbors","cell",4,12,"cell",4,4
"MeasureObjectNeighbors",9,"Neighbors","cell",4,12,"cell",4,5
"MeasureObjectNeighbors",9,"Neighbors","cell",4,12,"cell",4,9
"MeasureObjectNeighbors",9,"Neighbors","cell",4,12,"cell",4,14
"MeasureObjectNeighbors",9,"Neighbors","cell",4,12,"cell",4,21
"MeasureObjectNeighbors",9,"Neighbors","cell",4,13,"cell",4,8
